min_wt,max_wt,M29,M39,M49,M59,M69,M79,F29,F39,F49,F59,F69,F79
90,100,0,0,0,0,0,0,0.02,0.013,0.004,0.004,0.002,0.002
100,110,0,0,0,0,0,0,0.049,0.047,0.037,0.04,0.061,0.061
110,120,0.011,0.011,0.011,0.011,0.015,0.015,0.163,0.105,0.078,0.079,0.072,0.124
120,130,0.043,0.021,0.025,0.023,0.028,0.035,0.278,0.189,0.16,0.171,0.135,0.225
130,140,0.111,0.064,0.047,0.056,0.053,0.052,0.394,0.298,0.264,0.273,0.274,0.301
140,150,0.209,0.115,0.076,0.086,0.1,0.097,0.497,0.406,0.375,0.387,0.374,0.431
150,160,0.313,0.204,0.151,0.139,0.165,0.177,0.575,0.511,0.498,0.497,0.461,0.537
160,170,0.436,0.305,0.213,0.22,0.249,0.274,0.632,0.598,0.593,0.569,0.589,0.656
170,180,0.557,0.409,0.336,0.332,0.334,0.401,0.726,0.687,0.656,0.637,0.724,0.74
180,190,0.65,0.506,0.437,0.445,0.426,0.501,0.763,0.736,0.75,0.703,0.794,0.812
190,200,0.735,0.593,0.58,0.557,0.555,0.657,0.8,0.794,0.8,0.753,0.846,0.873
200,210,0.794,0.7,0.662,0.646,0.644,0.716,0.828,0.837,0.828,0.819,0.884,0.905
210,220,0.838,0.761,0.756,0.74,0.734,0.8,0.849,0.89,0.872,0.859,0.911,0.934
220,230,0.865,0.817,0.846,0.788,0.812,0.835,0.886,0.913,0.906,0.895,0.937,0.964
230,240,0.897,0.855,0.881,0.856,0.851,0.873,0.9,0.941,0.93,0.914,0.956,0.97
240,250,0.932,0.896,0.897,0.88,0.882,0.906,0.923,0.952,0.955,0.929,0.967,0.984
250,260,0.947,0.92,0.928,0.913,0.907,0.931,0.933,0.958,0.967,0.965,0.976,0.986
260,270,0.951,0.933,0.946,0.935,0.93,0.964,0.957,0.964,0.975,0.972,0.98,0.986
270,280,0.961,0.951,0.954,0.942,0.948,0.975,0.97,0.972,0.978,0.982,0.99,0.994
280,290,0.968,0.964,0.964,0.958,0.972,0.985,0.972,0.975,0.982,0.989,0.99,0.996
290,300,0.975,0.969,0.981,0.981,0.978,0.994,0.977,0.984,0.983,0.994,0.993,1
300,320,0.981,0.982,0.988,0.99,0.985,0.994,0.989,0.991,0.987,0.997,0.999,1
320,340,0.995,0.988,0.988,0.991,0.99,1,0.996,0.995,0.994,0.998,0.999,1
340,360,0.995,0.994,0.993,0.998,0.99,1,0.996,0.997,0.998,0.999,0.999,1
360,380,0.997,0.997,0.995,0.998,0.991,1,0.996,0.999,0.998,1,1,1
380,400,0.997,0.997,0.995,0.999,0.995,1,0.996,1,0.998,1,1,1
400,420,0.997,0.997,0.995,1,0.995,1,0.996,1,0.999,1,1,1
420,440,0.998,0.999,0.995,1,0.995,1,0.996,1,1,1,1,1
